resistencia,tiempo,VCH2
3000,0.0012439999999999999,1.2
3000,0.001248,1.18
3000,0.001252,1.2
3000,0.001256,1.2
3000,0.00126,1.2
3000,0.001264,1.2
3000,0.001268,1.18
3000,0.001272,1.2
3000,0.001276,1.2
3000,0.0012799999999999999,1.2
3000,0.001284,1.2
3000,0.0012879999999999999,1.2
3000,0.001292,1.2
3000,0.001296,1.2
3000,0.0013,1.2
3000,0.001304,1.2
3000,0.001308,1.2
3000,0.001312,1.22
3000,0.001316,1.22
3000,0.00132,1.2
3000,0.0013239999999999999,1.22
3000,0.001328,1.22
3000,0.001332,1.22
3000,0.001336,1.22
3000,0.00134,1.22
3000,0.001344,1.22
3000,0.001348,1.22
3000,0.001352,1.2
3000,0.001356,1.22
3000,0.0013599999999999999,1.22
3000,0.001364,1.22
3000,0.0013679999999999999,1.22
3000,0.001372,1.22
3000,0.001376,1.22
3000,0.00138,1.22
3000,0.001384,1.22
3000,0.001388,1.24
3000,0.001392,1.24
3000,0.0013959999999999999,1.24
3000,0.0014,1.24
3000,0.001404,1.24
3000,0.0014079999999999997,1.24
3000,0.0014119999999999998,1.24
3000,0.001416,1.24
3000,0.00142,1.24
3000,0.0014240000000000001,1.24
3000,0.0014279999999999998,1.24
3000,0.001432,1.24
3000,0.001436,1.22
3000,0.00144,1.24
3000,0.0014439999999999998,1.24
3000,0.0014479999999999999,1.24
3000,0.001452,1.22
3000,0.001456,1.24
3000,0.0014600000000000001,1.24
3000,0.0014639999999999998,1.26
3000,0.001468,1.24
3000,0.001472,1.24
3000,0.001476,1.22
3000,0.0014799999999999998,1.24
3000,0.0014839999999999999,1.24
3000,0.001488,1.24
3000,0.001492,1.24
3000,0.0014960000000000002,1.24
3000,0.0014999999999999998,1.26
3000,0.001504,1.24
3000,0.001508,1.24
3000,0.001512,1.26
3000,0.0015159999999999998,1.24
3000,0.0015199999999999999,1.24
3000,0.001524,1.24
3000,0.001528,1.24
3000,0.0015320000000000002,1.26
3000,0.0015359999999999998,1.24
3000,0.00154,1.26
3000,0.001544,1.26
3000,0.0015480000000000001,1.24
3000,0.0015519999999999998,1.24
3000,0.0015559999999999999,1.26
3000,0.00156,1.26
3000,0.001564,1.26
3000,0.0015680000000000002,1.26
3000,0.0015719999999999998,1.26
3000,0.001576,1.26
3000,0.00158,1.26
3000,0.0015840000000000001,1.24
3000,0.0015879999999999998,1.26
3000,0.0015919999999999999,1.26
