resistencia,tiempo,VCH1,VCH2
1000,-7.799999999999994e-05,-1.16,-1.12
1000,-7.700000000000003e-05,-1.1400000000000001,-1.1400000000000001
1000,-7.59999999999999e-05,-1.1400000000000001,-1.12
1000,-7.499999999999998e-05,-1.16,-1.12
1000,-7.400000000000006e-05,-1.1400000000000001,-1.1400000000000001
1000,-7.299999999999993e-05,-1.1400000000000001,-1.1400000000000001
1000,-7.200000000000002e-05,-1.1400000000000001,-1.1400000000000001
1000,-7.099999999999988e-05,-1.1400000000000001,-1.12
1000,-6.999999999999997e-05,-1.1400000000000001,-1.1400000000000001
1000,-6.900000000000005e-05,-1.1400000000000001,-1.12
1000,-6.799999999999992e-05,-1.1400000000000001,-1.1400000000000001
1000,-6.7e-05,-1.1400000000000001,-1.1400000000000001
1000,-6.599999999999987e-05,-1.1400000000000001,-1.1400000000000001
1000,-6.499999999999995e-05,-1.12,-1.12
1000,-6.400000000000004e-05,-1.1400000000000001,-1.12
1000,-6.29999999999999e-05,-1.1400000000000001,-1.12
1000,-6.199999999999999e-05,-1.12,-1.12
1000,-6.100000000000007e-05,-1.1400000000000001,-1.12
1000,-5.999999999999994e-05,-1.1400000000000001,-1.1400000000000001
1000,-5.9000000000000025e-05,-1.1400000000000001,-1.12
1000,-5.799999999999989e-05,-1.12,-1.12
1000,-5.6999999999999976e-05,-1.1400000000000001,-1.12
1000,-5.600000000000006e-05,-1.16,-1.1400000000000001
1000,-5.499999999999993e-05,-1.1400000000000001,-1.1400000000000001
1000,-5.400000000000001e-05,-1.16,-1.1400000000000001
1000,-5.299999999999988e-05,-1.1400000000000001,-1.1
1000,-5.199999999999996e-05,-1.1400000000000001,-1.1400000000000001
1000,-5.100000000000005e-05,-1.1400000000000001,-1.1400000000000001
1000,-4.9999999999999914e-05,-1.1400000000000001,-1.12
1000,-4.9e-05,-1.1400000000000001,-1.1400000000000001
1000,-4.7999999999999866e-05,-1.1400000000000001,-1.12
1000,-4.699999999999995e-05,-1.1400000000000001,-1.16
1000,-4.6000000000000034e-05,-1.1400000000000001,-1.1400000000000001
1000,-4.49999999999999e-05,-1.1400000000000001,-1.12
1000,-4.3999999999999985e-05,-1.1400000000000001,-1.12
1000,-4.300000000000007e-05,-1.1400000000000001,-1.1400000000000001
1000,-4.199999999999994e-05,-1.1400000000000001,-1.1400000000000001
1000,-4.100000000000002e-05,-1.1400000000000001,-1.1400000000000001
1000,-3.999999999999989e-05,-1.1400000000000001,-1.1
1000,-3.899999999999997e-05,-1.1400000000000001,-1.12
1000,-3.8000000000000056e-05,-1.1400000000000001,-1.12
1000,-3.6999999999999924e-05,-1.1400000000000001,-1.12
1000,-3.600000000000001e-05,-1.1400000000000001,-1.1400000000000001
1000,-3.4999999999999875e-05,-1.16,-1.12
1000,-3.399999999999996e-05,-1.16,-1.12
1000,-3.300000000000004e-05,-1.16,-1.12
1000,-3.199999999999991e-05,-1.16,-1.12
1000,-3.0999999999999995e-05,-1.1400000000000001,-1.12
1000,-3.000000000000008e-05,-1.1400000000000001,-1.1400000000000001
1000,-2.8999999999999946e-05,-1.1400000000000001,-1.12
1000,-2.800000000000003e-05,-1.1400000000000001,-1.1400000000000001
1000,-2.6999999999999897e-05,-1.1400000000000001,-1.12
1000,-2.599999999999998e-05,-1.12,-1.1400000000000001
1000,-2.5000000000000066e-05,-1.1400000000000001,-1.1400000000000001
1000,-2.3999999999999933e-05,-1.1400000000000001,-1.12
1000,-2.3000000000000017e-05,-1.12,-1.16
1000,-2.1999999999999884e-05,-1.1400000000000001,-1.1400000000000001
1000,-2.099999999999997e-05,-1.1400000000000001,-1.1400000000000001
1000,-2.0000000000000052e-05,-1.1400000000000001,-1.1400000000000001
1000,-1.899999999999992e-05,-1.1400000000000001,-1.1400000000000001
1000,-1.8000000000000004e-05,-1.1400000000000001,-1.12
1000,-1.699999999999987e-05,-1.1400000000000001,-1.1400000000000001
1000,-1.5999999999999955e-05,-1.12,-1.12
1000,-1.500000000000004e-05,-1.1400000000000001,-1.12
1000,-1.3999999999999907e-05,-1.1400000000000001,-1.12
1000,-1.299999999999999e-05,-1.12,-1.1400000000000001
1000,-1.2000000000000075e-05,-1.1400000000000001,-1.16
1000,-1.0999999999999942e-05,-1.1400000000000001,-1.1400000000000001
1000,-1.0000000000000026e-05,-1.1400000000000001,-1.1400000000000001
1000,-8.999999999999894e-06,-1.1400000000000001,-1.1400000000000001
1000,-7.999999999999978e-06,-1.1400000000000001,-1.12
1000,-7.000000000000062e-06,-1.12,-1.1400000000000001
1000,-5.999999999999929e-06,-1.1400000000000001,-1.16
1000,-5.000000000000013e-06,-1.1400000000000001,-1.1400000000000001
1000,-3.99999999999988e-06,-1.1400000000000001,-1.1400000000000001
1000,-2.9999999999999645e-06,-1.1400000000000001,-1.1400000000000001
1000,-2.0000000000000486e-06,-1.1400000000000001,-1.1400000000000001
1000,-9.999999999999159e-07,-1.12,-1.1400000000000001
1000,0.0,1.22,-1.1
1000,1.0000000000001327e-06,1.22,-1.1
1000,2.0000000000000486e-06,1.24,-1.08
1000,2.9999999999999645e-06,1.24,-1.08
1000,4.000000000000097e-06,1.24,-1.06
1000,5.000000000000013e-06,1.24,-1.04
1000,5.999999999999929e-06,1.24,-1.02
1000,7.000000000000062e-06,1.24,-1.02
1000,7.999999999999978e-06,1.24,-1.0
1000,9.00000000000011e-06,1.26,-0.98
1000,1.0000000000000026e-05,1.26,-0.98
1000,1.0999999999999942e-05,1.26,-1.0
1000,1.2000000000000075e-05,1.24,-0.96
1000,1.299999999999999e-05,1.26,-0.96
1000,1.4000000000000123e-05,1.26,-0.9400000000000001
1000,1.500000000000004e-05,1.26,-0.9400000000000001
1000,1.5999999999999955e-05,1.28,-0.9400000000000001
1000,1.7000000000000088e-05,1.24,-0.9
1000,1.8000000000000004e-05,1.26,-0.92
1000,1.899999999999992e-05,1.26,-0.9
1000,2.0000000000000052e-05,1.24,-0.88
1000,2.099999999999997e-05,1.26,-0.88
1000,2.20000000000001e-05,1.24,-0.86
1000,2.3000000000000017e-05,1.26,-0.86
1000,2.3999999999999933e-05,1.26,-0.86
1000,2.5000000000000066e-05,1.26,-0.8200000000000001
1000,2.599999999999998e-05,1.26,-0.84
1000,2.7000000000000114e-05,1.26,-0.8200000000000001
1000,2.800000000000003e-05,1.24,-0.8200000000000001
1000,2.8999999999999946e-05,1.26,-0.8
1000,3.000000000000008e-05,1.26,-0.78
1000,3.0999999999999995e-05,1.26,-0.78
1000,3.200000000000013e-05,1.26,-0.74
1000,3.300000000000004e-05,1.26,-0.76
1000,3.399999999999996e-05,1.26,-0.74
1000,3.500000000000009e-05,1.26,-0.74
1000,3.600000000000001e-05,1.26,-0.72
1000,3.6999999999999924e-05,1.26,-0.7000000000000001
1000,3.8000000000000056e-05,1.26,-0.68
1000,3.899999999999997e-05,1.26,-0.7000000000000001
1000,4.0000000000000105e-05,1.26,-0.7000000000000001
1000,4.100000000000002e-05,1.26,-0.68
1000,4.199999999999994e-05,1.26,-0.68
1000,4.300000000000007e-05,1.26,-0.66
1000,4.3999999999999985e-05,1.26,-0.66
1000,4.500000000000012e-05,1.26,-0.62
1000,4.6000000000000034e-05,1.28,-0.64
1000,4.699999999999995e-05,1.26,-0.62
1000,4.800000000000008e-05,1.26,-0.62
1000,4.9e-05,1.28,-0.62
1000,5.000000000000013e-05,1.26,-0.6
1000,5.100000000000005e-05,1.26,-0.6
1000,5.199999999999996e-05,1.26,-0.6
1000,5.3000000000000096e-05,1.28,-0.58
1000,5.400000000000001e-05,1.26,-0.58
1000,5.499999999999993e-05,1.28,-0.56
1000,5.600000000000006e-05,1.26,-0.56
1000,5.6999999999999976e-05,1.28,-0.54
1000,5.800000000000011e-05,1.26,-0.52
1000,5.9000000000000025e-05,1.28,-0.52
1000,5.999999999999994e-05,1.26,-0.5
1000,6.100000000000007e-05,1.26,-0.5
1000,6.199999999999999e-05,1.26,-0.48
1000,6.300000000000012e-05,1.26,-0.5
1000,6.400000000000004e-05,1.26,-0.48
1000,6.499999999999995e-05,1.26,-0.48
1000,6.600000000000009e-05,1.26,-0.5
1000,6.7e-05,1.26,-0.46
1000,6.799999999999992e-05,1.26,-0.46
1000,6.900000000000005e-05,1.26,-0.44
1000,6.999999999999997e-05,1.26,-0.44
1000,7.10000000000001e-05,1.26,-0.48
1000,7.200000000000002e-05,1.26,-0.44
1000,7.299999999999993e-05,1.26,-0.42
1000,7.400000000000006e-05,1.28,-0.42
